metric,median_abs_value,R1-R2_n,R1-R2_median_delta,R1-R2_p90_delta,R1-M1_n,R1-M1_median_delta,R1-M1_p90_delta,M1-M23_n,M1-M23_median_delta,M1-M23_p90_delta,R1-M23_n,R1-M23_median_delta,R1-M23_p90_delta,R1-M28_n,R1-M28_median_delta,R1-M28_p90_delta,R1-H23_n,R1-H23_median_delta,R1-H23_p90_delta,R1-H28_n,R1-H28_median_delta,R1-H28_p90_delta,R1-M18_n,R1-M18_median_delta,R1-M18_p90_delta,R1-M12_n,R1-M12_median_delta,R1-M12_p90_delta,PR-PM1_n,PR-PM1_median_delta,PR-PM1_p90_delta,PR-PM23_n,PR-PM23_median_delta,PR-PM23_p90_delta,PR-PM28_n,PR-PM28_median_delta,PR-PM28_p90_delta,PR-PH23_n,PR-PH23_median_delta,PR-PH23_p90_delta,PR-PH28_n,PR-PH28_median_delta,PR-PH28_p90_delta,PR-PM18_n,PR-PM18_median_delta,PR-PM18_p90_delta,PR-PM12_n,PR-PM12_median_delta,PR-PM12_p90_delta
attackAngle,23.8794,38,0.0,0.0,38,13.6005,56.6447,38,21.4339,44.0904,38,20.5185,50.7248,38,19.3315,48.2381,38,18.8096,51.6309,38,15.5297,52.9437,38,16.5886,44.4346,38,18.8368,38.3148,38,11.2502,47.6116,38,15.6043,53.381,38,21.9817,47.4837,38,17.3533,46.1949,38,12.2082,39.6366,38,12.8275,38.0872,38,9.7297,30.4664
ballPosition,34.0359,25,0.0,0.0,25,1.7381,7.2744,25,0.5537,2.8843,25,1.3328,4.5459,25,1.7375,7.9545,25,1.9132,2.7044,25,1.7045,5.2663,25,0.9649,3.3266,25,1.1728,3.9392,25,0.0116,0.0385,25,0.0069,0.0741,25,0.0128,0.1427,25,0.0062,0.0588,25,0.013,0.0804,25,0.0029,0.0357,25,0.0022,0.0278
clubAngularSpeed,1699.6351,60,0.0,0.0,58,45.6178,198.6401,57,72.6109,286.0844,57,68.5547,254.031,55,49.1246,244.2859,57,46.0035,169.1158,56,50.9076,173.9015,58,54.2364,179.096,54,52.9078,252.5849,60,17.5938,107.1833,60,31.8862,93.9535,60,37.0462,173.2448,60,22.0419,130.0568,60,25.8988,114.3289,59,27.2135,95.0101,60,21.9502,159.7647
clubheadPeakLead,61.039,38,0.0,0.0,38,2.9375,158.6384,38,1.0595,94.2912,38,0.8515,159.4601,38,23.195,157.7498,38,2.3445,142.6605,38,2.705,160.6359,38,2.295,154.166,38,2.391,160.6359,38,0.0,52.5002,38,0.0,1.2501,38,0.0,44.1669,38,0.0,1.2501,38,0.0,0.0,38,0.0,4.1663,38,0.0,0.0
clubheadSpeed,3.7152,114,0.0,0.0,114,0.7864,6.9357,114,0.5373,6.9549,114,0.8456,9.1434,114,0.886,9.1974,114,0.7524,6.9728,114,0.889,9.0108,114,0.6707,9.3293,114,0.6913,9.7301,114,0.044,1.35,114,0.0496,1.3463,114,0.1115,3.0726,114,0.0501,2.0909,114,0.0548,1.6608,114,0.0426,2.2011,114,0.0273,0.9281
comOverLeadFoot,47.9101,152,0.0,0.0,152,2.2431,8.2195,152,1.5222,7.3929,152,1.7207,12.3253,152,2.8509,12.1757,152,1.9198,9.9344,152,2.0842,10.0614,152,1.9885,9.7067,152,1.5187,8.138,152,0.0,0.0,152,0.0,0.0,152,0.0,0.0,152,0.0,0.0,152,0.0,0.0,152,0.0,0.0,152,0.0,0.0
elbowAlignment,18.4517,110,0.0,0.0,108,0.9848,8.2394,107,0.936,5.9792,106,1.1497,10.9038,106,1.1883,14.1722,108,1.2358,9.2959,106,1.5005,6.6383,106,0.6243,7.3101,107,0.7961,8.4588,110,0.0,0.0,110,0.0,0.0,110,0.0,0.0,110,0.0,0.0,110,0.0,0.0,110,0.0,0.0,110,0.0,0.0
feetAlignment,3.2091,114,0.0,0.0,114,0.4869,2.3696,114,0.3487,1.8224,114,0.432,1.8354,114,0.5591,3.5169,114,0.4121,1.8463,114,0.4265,2.7877,114,0.5183,1.8582,114,0.3458,2.6304,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0
handSpeed,1.0348,114,0.0,0.0,114,0.1704,1.2399,114,0.1534,0.8837,114,0.1635,2.5016,114,0.2209,2.2019,114,0.1746,1.4605,114,0.2068,1.0234,114,0.1365,1.1716,114,0.1258,2.1295,114,0.0029,0.0621,114,0.0041,0.0775,114,0.0026,0.1044,114,0.0016,0.0844,114,0.0027,0.0752,114,0.0028,0.0596,114,0.0024,0.0925
headLift,1.8643,114,0.0,0.0,114,0.2067,3.299,114,0.2438,2.5246,114,0.256,3.8141,114,0.2928,4.1989,114,0.219,3.422,114,0.2394,2.5708,114,0.2211,3.2909,114,0.2025,2.6922,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0
headSway,2.282,114,0.0,0.0,114,0.1716,0.7059,114,0.1072,0.5534,114,0.1857,0.8796,114,0.22,0.9535,114,0.1736,0.7209,114,0.2384,0.9898,114,0.1617,0.777,114,0.1615,1.1168,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0
headTilt,9.3862,114,0.0,0.0,114,4.5003,54.0711,114,3.4059,60.7531,114,5.8579,60.9264,114,4.616,68.2545,114,4.5687,55.3852,114,5.3235,67.8523,114,3.7134,62.932,114,2.9549,51.2335,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0
hipLineTilt,5.4275,266,0.0,0.0,266,0.5619,3.6215,263,0.3489,2.3729,263,0.6243,2.8212,264,0.7569,3.9073,263,0.5413,4.3553,266,0.6972,3.8127,263,0.4597,2.6528,263,0.3998,3.0339,266,0.0,0.0,266,0.0,0.0,266,0.0,0.0,266,0.0,0.0,266,0.0,0.0,266,0.0,0.0,266,0.0,0.0
hm.forearmRotation,19.4691,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0
hm.leadWristFlexExt,4.7632,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0
hm.leadWristRadUln,31.4732,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0
impactShaftLean,9.5,38,0.0,0.0,38,0.6388,4.0833,38,0.0049,3.1603,38,1.0,7.1018,38,1.0,13.6,38,0.9474,8.8,38,0.273,4.0528,38,0.0147,3.6,38,0.0111,14.0,38,0.0,0.0,38,0.0,1.2624,38,0.0,2.6,38,0.0,3.6289,38,0.0,0.4831,38,0.0,1.2624,38,0.0,0.0
