item,R1-T1_n,R1-T1_median,R1-T1_p90,M28-T28_n,M28-T28_median,M28-T28_p90,R1-M28_n,R1-M28_median,R1-M28_p90
ball_found_agreement,0,,,0,,,38,1.0,1.0
ball_launch_found_mismatch,38,1.0,1.0,38,0.5,1.0,38,0.0,1.0
ball_launch_ms,11,92.828,941.75,13,112.186,1795.189,19,0.0,261.2464
ball_pos_px_median,0,,,0,,,32,0.0382,0.7163
club_frames_tracked_in_one_only,38,1202.0,1210.0,38,1202.0,1210.0,38,0.0,0.0
club_head_px_median,0,,,0,,,38,5.1406,24.2697
club_head_px_p95,0,,,0,,,38,36.7999,193.1826
club_theta_deg_median,0,,,0,,,38,0.3967,2.6004
club_theta_deg_p95,0,,,0,,,38,5.914,23.7
metric:attackAngle:P5,38,10.2139,24.0154,38,11.651,31.205,38,1.2193,13.6289
metric:ballPosition:P0,17,23.1115,32.2105,17,23.8447,33.2164,25,1.7375,7.9545
metric:clubAngularSpeed:P5,14,108.3621,153.7936,13,83.9643,580.9983,17,58.4128,268.5825
metric:clubAngularSpeed:P9,38,113.8416,289.1694,38,77.4558,282.565,38,45.1508,213.7237
metric:clubheadPeakLead:P5,38,1.5045,48.8259,38,1.771,49.9254,38,1.419,14.0867
metric:clubheadSpeed:P0,38,0.8352,12.031,38,1.3313,11.4333,38,0.6776,7.729
metric:clubheadSpeed:P2,38,0.4817,3.5058,38,0.391,1.5076,38,0.4624,3.1313
metric:clubheadSpeed:P5,38,3.6171,13.3084,38,4.9905,17.3963,38,2.5994,11.8354
metric:comOverLeadFoot:P0,38,4.8819,33.8252,38,4.6137,41.5483,38,3.4276,22.1913
metric:comOverLeadFoot:P2,38,2.9717,11.0663,38,2.2026,6.6794,38,3.1429,7.9071
metric:comOverLeadFoot:P5,38,4.7153,12.2342,38,3.1331,14.1876,38,2.7101,6.8207
metric:comOverLeadFoot:P7,38,2.7088,12.0063,38,2.771,8.549,38,2.3375,10.3523
metric:elbowAlignment:P0,38,3.5308,25.6222,38,2.6928,23.1257,38,1.7992,30.9499
metric:elbowAlignment:P2,32,4.806,12.9963,29,5.2932,12.5481,30,2.5806,9.0528
metric:elbowAlignment:P5,38,2.2179,5.2353,38,1.9361,4.2686,38,0.6485,2.3716
metric:feetAlignment:P0,38,0.9747,8.6868,38,0.9194,9.485,38,0.7259,6.9878
metric:feetAlignment:P2,38,0.5671,2.3359,38,0.5832,1.45,38,0.5818,1.49
metric:feetAlignment:P5,38,0.8785,2.713,38,0.5897,3.1506,38,0.3568,1.5472
metric:handSpeed:P0,38,0.2348,4.8566,38,0.5988,4.8221,38,0.1662,2.6474
metric:handSpeed:P2,38,0.2561,1.8027,38,0.2203,0.855,38,0.1521,1.7207
metric:handSpeed:P5,38,1.6625,6.1656,38,1.2957,6.6915,38,0.342,1.1449
metric:headLift:P0,38,0.4851,7.2108,38,1.7841,7.6005,38,0.7924,6.3416
metric:headLift:P2,38,0.373,2.4078,38,0.3739,3.1087,38,0.1928,3.2016
metric:headLift:P5,38,0.3842,1.4733,38,0.2955,1.2474,38,0.237,1.4271
metric:headSway:P0,38,0.1783,0.5701,38,0.2368,0.7734,38,0.0503,0.5503
metric:headSway:P2,38,0.382,1.1766,38,0.4654,1.7872,38,0.4017,1.91
metric:headSway:P5,38,0.2801,0.8039,38,0.3631,0.8624,38,0.2228,0.6724
metric:headTilt:P0,38,2.8117,69.45,38,2.7281,136.523,38,1.5679,118.3644
metric:headTilt:P2,38,6.9652,47.944,38,10.4669,69.6626,38,5.2251,66.1713
metric:headTilt:P5,38,6.064,56.1305,38,6.7119,67.9189,38,2.4573,65.1538
metric:hipLineTilt:P0,38,1.2364,8.3126,38,1.3209,6.1255,38,0.9875,9.0181
metric:hipLineTilt:P12,38,1.7858,7.4974,37,1.1084,5.0179,37,0.874,6.0293
metric:hipLineTilt:P13,38,1.0116,2.5572,38,0.9994,2.6635,38,0.5505,1.9976
metric:hipLineTilt:P2,38,1.0331,2.9837,38,1.3619,3.3113,38,0.8664,2.1641
metric:hipLineTilt:P5,38,1.3352,7.0457,38,0.9991,5.1984,38,0.8442,6.3827
metric:hipLineTilt:P8,38,1.386,3.663,37,1.2014,3.7762,37,0.5638,1.46
metric:hipLineTilt:P9,38,0.7768,2.874,38,1.4546,4.0087,38,0.7413,2.2951
metric:hm.forearmRotation:P0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0
metric:hm.forearmRotation:P2,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0
metric:hm.forearmRotation:P5,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0
metric:hm.leadWristFlexExt:P0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0
metric:hm.leadWristFlexExt:P2,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0
metric:hm.leadWristFlexExt:P5,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0
metric:hm.leadWristRadUln:P0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0
metric:hm.leadWristRadUln:P2,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0
metric:hm.leadWristRadUln:P5,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0
metric:impactShaftLean:P5,38,2.0,16.3,38,5.5,17.9,38,1.0,13.6
metric:lagAngle:P0,38,1.6102,8.923,38,2.3944,9.5552,38,1.1478,6.9335
metric:lagAngle:P2,38,2.6229,7.3301,38,2.7537,7.8312,38,2.1462,7.5023
metric:lagAngle:P5,38,2.2788,8.4881,38,2.2949,7.4566,38,1.2765,3.4007
metric:leadArmAngularSpeed:P5,33,32.8073,130.8481,33,14.5114,118.5034,34,12.4884,86.0958
metric:leadArmAngularSpeed:P9,37,32.3092,176.8717,37,36.2536,153.2385,38,15.8353,70.8844
metric:leadArmToTorso:P0,38,0.6339,2.0304,38,0.6286,3.626,38,0.7728,2.4635
metric:leadArmToTorso:P2,38,4.7672,11.1725,38,8.1268,22.1084,38,3.9938,13.6371
metric:leadArmToTorso:P5,37,1.047,3.6174,37,0.9215,2.6636,37,0.3858,1.6964
metric:leadArmToTorso:P7,38,10.4499,33.45,38,9.109,29.3524,38,3.0074,21.0749
metric:leadFootFlare:P0,38,3.3014,17.0067,38,3.6401,18.3253,38,3.3167,12.9171
metric:leadHandWidth:P0,38,1.0655,31.8544,38,1.4582,21.5672,38,0.9761,10.0121
metric:leadHandWidth:P2,38,1.6578,10.8658,38,1.9502,12.1259,38,0.8522,12.4875
metric:leadHandWidth:P5,37,1.5321,7.7478,37,0.8299,9.0392,37,1.0186,5.363
metric:leadHandWidth:P7,38,3.6385,14.2165,38,6.2546,14.4148,38,1.7752,19.8258
metric:leadHeelLift:P0,20,0.2056,2.4991,21,0.3346,4.4412,28,0.2021,2.26
metric:leadHeelLift:P2,20,0.9617,2.2619,21,0.7345,2.3015,28,0.5103,3.5542
metric:leadHeelLift:P5,20,0.3674,1.4039,21,0.3013,1.2019,28,0.4355,1.0163
metric:leadKneeDrift:P0,38,1.0518,6.7239,38,1.0745,7.087,38,1.4612,8.6306
metric:leadKneeDrift:P2,38,2.2328,5.4838,38,1.9849,6.3381,38,1.5045,4.6967
metric:leadKneeDrift:P5,38,2.2931,5.7022,38,2.0513,5.6479,38,0.8723,4.9789
metric:leadUpperArmToChest:P0,38,0.7364,4.0088,38,0.8641,4.7577,38,0.95,4.9435
metric:leadUpperArmToChest:P2,38,1.5026,14.2124,38,2.0845,14.9994,38,2.1795,15.0038
metric:leadUpperArmToChest:P5,37,1.9628,6.3353,37,0.9835,3.7274,37,0.7403,2.0246
metric:leadUpperArmToChest:P7,38,2.4987,9.0746,38,2.4841,7.9901,38,0.9871,3.4678
metric:lowPointAhead:P5,22,5.2799,12.7845,19,4.6695,12.2688,26,0.7546,2.7718
metric:pelvisAngularSpeed:P5,17,222.8953,532.2958,21,160.2041,648.4541,23,58.9679,348.51
metric:pelvisAngularSpeed:P9,29,129.5643,526.5606,27,166.0432,508.5005,31,82.2899,487.7507
metric:pelvisLift:P0,38,1.3847,5.6834,38,1.6605,4.1665,38,1.5035,5.1252
metric:pelvisLift:P2,38,1.6746,5.0157,38,1.8399,5.559,38,2.0955,4.2024
metric:pelvisLift:P5,38,3.3036,9.5,38,1.87,9.8146,38,1.5524,5.2116
metric:pelvisSway:P0,38,0.4921,2.3145,38,0.3721,2.7202,38,0.5543,2.2072
metric:pelvisSway:P2,38,0.8714,3.3585,38,1.3614,3.3805,38,0.866,2.774
metric:pelvisSway:P5,38,1.2134,3.5511,38,1.0455,3.2547,38,0.8755,2.5798
metric:plumbBobDistance:P0,20,0.3739,0.9119,21,0.439,0.9555,28,0.224,0.8372
metric:plumbBobDistance:P12,20,0.2928,1.7583,20,0.2546,0.6604,27,0.1521,0.5177
metric:plumbBobDistance:P13,20,0.3005,0.9738,21,0.2214,0.7874,28,0.2014,0.543
metric:plumbBobDistance:P2,20,0.2593,0.9172,21,0.1713,0.682,28,0.2833,0.601
metric:plumbBobDistance:P5,20,0.4083,0.6441,21,0.2691,1.3709,28,0.2686,0.6406
metric:plumbBobDistance:P8,20,0.4558,1.386,20,0.5606,1.3231,27,0.1862,0.6773
metric:plumbBobDistance:P9,20,0.3444,1.0559,21,0.3863,0.7894,28,0.3246,0.8347
metric:secondaryAxisTilt:P0,38,0.5424,1.4743,38,0.5994,1.8277,38,0.3068,1.132
metric:secondaryAxisTilt:P2,38,1.4153,6.3894,38,2.7891,12.6468,38,1.5295,9.1817
metric:secondaryAxisTilt:P5,37,0.508,1.5456,37,0.4372,1.1241,37,0.3312,0.971
metric:shaftAngleVsHorizontal:P0,38,4.5,49.1529,38,6.6997,55.9398,38,1.0,6.4238
metric:shaftAngleVsHorizontal:P2,38,3.0592,22.0718,38,4.4547,26.4574,38,3.701,32.2148
metric:shaftAngleVsHorizontal:P5,38,14.4812,65.6,38,13.3073,39.6,38,14.5381,39.6
metric:shaftAngleVsHorizontal:P7,38,13.9448,52.0271,38,12.0,65.8361,38,9.5,49.7273
metric:shoulderPlaneAngle:P0,38,0.485,1.3756,38,0.667,1.4846,38,0.4289,1.0288
metric:shoulderPlaneAngle:P2,4,19.8172,41.6838,3,4.4004,38.5678,4,6.4737,11.3351
metric:shoulderPlaneAngle:P5,37,0.7379,2.7309,37,0.6711,2.4985,37,0.6374,1.2321
metric:spineSideBend:P0,38,1.3954,8.4351,38,1.4615,5.7571,38,1.0139,9.38
metric:spineSideBend:P2,4,18.9459,41.934,3,6.4383,38.8841,4,6.5291,13.2423
metric:spineSideBend:P5,37,3.0815,10.5111,37,1.6575,4.335,37,0.9712,6.2402
metric:stanceWidth:P0,38,1.5096,3.8022,38,1.9249,3.8177,38,1.0833,2.5476
metric:stanceWidthMm:P0,20,4.5502,13.6544,21,4.5671,11.3029,28,1.7139,7.2596
metric:swingPlaneIotaBack:P2,38,4.6564,12.9629,37,5.3312,12.6797,37,2.2019,6.5137
metric:swingPlaneIotaDown:P5,38,5.0655,14.1813,37,5.105,11.594,37,3.0903,10.4834
metric:tempoBackswing:P5,38,0.0135,0.079,38,0.0126,0.0689,38,0.0068,0.0925
metric:tempoRatio:P5,38,0.0889,0.4155,38,0.1039,0.4066,38,0.0666,0.9228
metric:thoraxAngularSpeed:P5,3,99.7579,181.5877,2,352.517,501.0576,6,159.2055,318.5179
metric:thoraxAngularSpeed:P9,36,83.2615,296.0046,36,59.3914,445.5162,36,52.2545,239.1673
metric:thoraxLateralDrift:P0,38,6.3405,48.0889,38,5.0759,48.0209,38,4.4947,33.6924
metric:thoraxLateralDrift:P2,38,5.5484,14.9863,38,5.2566,18.1505,38,3.9457,19.2266
metric:thoraxLateralDrift:P5,37,4.5087,16.2906,37,3.3464,18.1282,37,2.6898,9.637
metric:toeLineAngle:P0,38,2.0598,332.1932,38,3.1054,348.5557,38,1.877,168.6333
metric:trailElbowHeight:P0,38,3.0996,24.0438,38,2.7967,26.5419,38,1.7066,23.1395
metric:trailElbowHeight:P2,4,20.056,28.5381,3,10.3289,40.5051,4,16.4496,24.8297
metric:trailElbowHeight:P5,37,1.8033,6.118,37,1.6549,4.4822,37,1.2158,3.204
metric:trailElbowHeight:P7,29,5.6084,10.1342,31,4.7862,11.7308,33,2.5872,6.932
metric:trailFootFlare:P0,38,2.3682,10.8999,38,2.925,10.0544,38,1.7006,7.2286
metric:trailWristFlexExt:P0,38,4.0662,16.7824,38,3.6399,25.1583,38,2.3119,14.1578
metric:trailWristFlexExt:P2,38,8.2025,50.8267,38,5.653,60.3202,38,5.302,61.7437
metric:trailWristFlexExt:P5,38,2.9757,29.0452,38,3.1347,39.9082,38,1.9041,23.9124
metric:trailWristFlexExt:P7,38,5.5419,14.4001,38,5.2195,26.3539,38,1.8242,12.6594
metric:transitionPlaneDelta:P3,38,5.4311,10.8838,37,6.603,13.0805,37,4.5315,12.4693
metric_keys_only_in_first,38,0.0,4.0,38,0.0,4.0,38,0.0,0.0
metric_keys_only_in_second,38,0.0,4.3,38,0.0,5.0,38,0.0,0.0
metric_value_count_diff,38,2.0,15.0,38,2.5,13.0,38,1.0,4.0
phase_P00_ms,38,11.3065,48.9559,38,7.2805,44.3025,38,0.0,66.6613
phase_P01_ms,38,10.4975,165.9513,38,8.7055,98.6439,38,0.0,119.0794
phase_P02_ms,38,4.359,32.4465,38,7.935,28.6428,38,0.0,82.3792
phase_P05_ms,38,1.2475,4.4652,38,1.2475,4.4652,38,0.0,0.0
phase_P07_ms,38,28.595,63.4683,38,22.3445,105.8223,38,5.9575,56.8041
phase_P08_ms,38,3.4195,14.3565,37,4.294,10.5044,37,1.071,6.2404
phase_P09_ms,38,2.8485,7.8653,38,3.4385,7.2943,38,0.441,5.4821
phase_P10_ms,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0
phase_P12_ms,38,2.2375,5.1685,37,3.682,7.1442,37,2.28,4.6964
phase_P13_ms,38,0.514,3.0813,38,0.7345,2.8139,38,0.1315,1.2963
phase_P14_ms,38,3.185,9.2412,38,2.6665,7.4815,38,0.752,5.3871
phase_count_diff,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
pose_body_px_mean,0,,,0,,,38,2.7005,4.0169
pose_body_px_p95,0,,,0,,,38,6.3437,10.3963
pose_frames_common,38,0.0,0.0,38,0.0,0.0,38,215.0,229.0
pose_hands_px_mean,0,,,0,,,38,4.2149,7.4563
pose_hands_px_p95,0,,,0,,,38,10.0034,15.9377
score_overall,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
